Section,Information Needed,Relevant Article(s) \ Recital(s),Why and what
GEOGRAPHICAL SCOPE,"- Main establishment country (and more precisly → (Has the service provider an establishment in the Union?)


- EU user base (as a whole or divded by country)

- Use of a language of a Member State

- Currency generally used in that Member State

- Possibility of ordering products or services from EU member state

- Top level domain used for the service

- Accessability of the main website from the Union","Article 2 - This Regulation shall apply to intermediary services offered to recipients of the service that have their place of establishment or are located in the Union, irrespective of where the providers of those intermediary services have their place of establishment.”","RATIO 
The DSA applies to “intermediary services offered to recipients of the service that have their place of establishment or are located in the Union, irrespective of where the providers of those intermediary services have their place of establishment.” If the company has no EU establishment but offers services in the Union, it must “designate, in writing, a legal or natural person to act as their legal representative in one of the Member States where the provider offers its services” under Article 13. Establishes if the company has a substantial connection to the EU and is thus within the DSA’s jurisdiction. 

QUESTIONS 
Where is the company’s main establishment located? Does the company offer services to users in the EU?"
,,"Recital 7/8 - In order to ensure the effectiveness of the rules laid down in this Regulation and a level playing field within the internal market, those rules should apply to providers of intermediary services irrespective of their place of establishment or their location, in so far as they offer services in the Union, as evidenced by a substantial connection to the Union. 

- Such a substantial connection to the Union should be considered to exist where the service provider has an establishment in the Union OR, in the absence of such an establishment, where the number of recipients of the service in one or more Member States is significant in relation to the population thereof, OR on the basis of the targeting of activities towards one or more Member States. 

The targeting of activities towards one or more Member States can be determined on the basis of all relevant circumstances, including factors such as the use of a language or a currency generally used in that Member State, or the possibility of ordering products or services, or the use of a relevant top-level domain. The targeting of activities towards a Member State could also be derived from the availability of an application in the relevant national application store, from the provision of local advertising or advertising in a language used in that Member State, or from the handling of customer relations such as by providing customer service in a language generally used in that Member State. 

A substantial connection should also be assumed where a service provider directs its activities to one or more Member States within the meaning of Article 17(1), point (c), of Regulation (EU) No 1215/2012 of the European Parliament and of the Council. 

In contrast, mere technical accessibility of a website from the Union cannot, on that ground alone, be considered as establishing a substantial connection to the Union.”",
,,Article 3 (d) - to offer services in the Union means enabling natural or legal persons in one or more Member States to use the services of a provider of intermediary services that has a substantial connection to the Union;,
,,"Article 3 (e) - substantial connection to the Union means a connection of a provider of intermediary services with the Union resulting either from its establishment in the Union or from specific factual criteria, such as a significant number of recipients of the service in one or more Member States in relation to its or their population or the targeting of activities towards one or more Member States;“",
COMPANY SIZE,"Headcount, annual turnover, balance sheet total for micro/small enterprise exemptions.","Article 2 Commission Recommendation 2003/361/EC - The category of micro, small and medium-sized enterprises (SMEs) is made up of enterprises which employ fewer than 250 persons and which have an annual turnover not exceeding €50 million, and/or an annual balance sheet total not exceeding €43 million. Within the SME category, a small enterprise is defined as an enterprise which employs fewer than 50 persons and whose annual turnover and/or annual balance sheet total does not exceed €10 million. Within the SME category, a micro enterprise is defined as an enterprise which employs fewer than 10 persons and whose annual turnover and/or annual balance sheet total does not exceed €2 million.”","RATIO 
This matters because “providers of intermediary services that qualify as micro or small enterprises as defined in Recommendation 2003/361/EC” are exempt from certain transparency reporting obligations under Article 15(2) and from Section 3 obligations (online platform-specific requirements) under Article 19. 

QUESTIONS
To determine if the company qualifies for micro/small enterprise exemptions from certain DSA obligations. What is the company’s classification according to EU Recommendation 2003/361/EC? Micro enterprise (< 10 employees, turnover ≤ €2 million) Small enterprise (< 50 employees, turnover ≤ €10 million) Medium enterprise (< 250 employees, turnover ≤ €50 million) Large enterprise"
,,"Article 29 - Exclusion for micro and small enterprises 
1. This Section [SECTION 4 Additional provisions applicable to providers of online platforms allowing consumers to conclude distance contracts with traders] shall not apply to providers of online platforms allowing consumers to conclude distance contracts with traders that qualify as micro or small enterprises as defined in Recommendation 2003/361/EC. This Section shall not apply to providers of online platforms allowing consumers to conclude distance contracts with traders that previously qualified for the status of a micro or small enterprise as defined in Recommendation 2003/361/EC during the 12 months following their loss of that status pursuant to Article 4(2) thereof, except when they are very large online platforms in accordance with Article 33. 

2. By derogation from paragraph 1 of this Article, this Section shall apply to providers of online platforms allowing consumers to conclude distance contracts with traders that have been designated as very large online platforms in accordance with Article 33, irrespective of whether they qualify as micro or small enterprises.",
TYPE OF SERVICE PROVIDED,‘intermediary service’ means one of the following information society services:,"Article 2.2 - This Regulation shall not apply to any service that is not an intermediary service or to any requirements imposed in respect of such a service, irrespective of whether the service is provided through the use of an intermediary service.","RATIO 
The Search Agent will gather the information the service offewrend and will verify if any of them is comparable with one of the DSA Category. This is the most important classification: The DSA will apply to a company only if you provide an intermediary service Depending on the service you provide, what obligations you need to abide to will change. 


QUESTIONS 
What specific services does the company provide? Does it transmit information in a communication network (mere conduit)? Does it perform automatic, intermediate caching of transmitted information? Does it store information provided by users (hosting)? Does it store AND disseminate information to the public (online platform)? Does it allow users to search websites based on queries (online search engine)? Does it allow consumers to conclude distance contracts with traders (online marketplace)?"
,mere conduit,"Article 3(g.i) - consisting of the transmission in a communication network of information provided by a recipient of the service, or the provision of access to a communication network",
,,"Recital 29 - […] For example, mere conduit intermediary services include generic categories of services, such as internet exchange points, wireless access points, virtual private networks, DNS services and resolvers, top-level domain name registries, registrars, certificate authorities that issue digital certificates, voice over IP and other interpersonal communication services.[…]",
,caching service,"Article 3(g.ii) - consisting of the transmission in a communication network of information provided by a recipient of the service, involving the automatic, intermediate and temporary storage of that information, performed for the sole purpose of making more efficient the information’s onward transmission to other recipients upon their request;",
